Material_Armenian,Material_id,Material_English,,,
Ակրիլ,2,Acrylic,,,
Ատլաս,3,Satin,,,
Արծաթապատված,5,Silver-plated,,,
Արհեստական ​​կաշի,7,Faux leather,,,
Արհեստական ​​մորթի,8,Faux fur,,,
Բամբակ,9,Cotton,,,
Բուրդ,11,Wool,,,
Էլաստան,13,Elastane,,,
Ծղոտ,19,Straw,,,
Կաշի,20,Leather,,,
Քաշմիր,22,Cashmere,,,
Կոկորդիլոսի կաշի,23,Crocodile leather,,,
Կտոր,25,Fabric,,,
Մետաքս,27,Silk,,,
Շիֆոն,30,Chiffon,,,
Ոսկու ծածկույթ,32,Gold-plated,,,
Չժանգոտվող պողպատ,34,Stainless steel,,,
Պլաստմասե,36,Plastic,,,
Պոլիեսթեր,37,Polyester,,,
Ջերսի,39,Jersey,,,
Ջինս,40,Denim,,,
Ռետին,41,Rubber,,,
Ռոդիումապատ,42,Rhodium-plated,,,
Սպանդեքս,44,Spandex,,,
Ցանց,48,Mesh,,,
Փայտ,50,Wood,,,
Օձի կաշի,51,Snakeskin,,,
Վիսկոզ,53,Viscose,,,
Լյոսել,54,Lyocell,,,
Վուշ,55,Flax,,,
Պոլիամիդ,56,Polyamide,,,
Մոդալ,57,Modal,,,
Մետաղացված,58,Metallized,,,
Էլաստոմուլտիէսթեր,59,Elastomultiester,,,
Բնական Կաշի,61,Genuine leather,,,
լուռեկս,62,Lurex,,,
Կուպռո,63,Cupro,,,
Պոլիէթիլեն,65,Polyethylene,,,
Վելվետ,66,Velvet,,,
Մետաղյա,67,Metallic,,,
Սինթետիկ նյութ,68,Synthetic material,,,
Տեքստիլ,69,Textile,,,
Բամբուկ,70,Bamboo,,,
Անգոռա,71,Angora,,,
Մանրաթել,72,Fiber,,,
Մորթի ,74,Fur,,,
Գառան մորթի,75,Lambskin fur,,,
Գառան բնական կաշի,76,Genuine lambskin leather,,,
ԱՑԵՏԱՏ,77,Acetate,,,
Բմբուլ,78,Down/Fluff,,,
Զամշ,79,Suede,,,
Մոհիր,81,Mohair,,,
մեշկավինա,83,Burlap,,,
Այծի կաշի,84,Goatskin,,,
Ջուտ,85,Jute,,,
Լաք,87,Patent leather,,,
Դուվետ,88,Duvetine,,,
բնական մորթի ,89,Genuine fur,,,
Պոլիպռոպոլեն,90,Polypropylene,,,
ռաֆիա,91,Raffia,,,
ռեզին,93,Resin,,,
Լինեն,94,Linen,,,
Ռաթթան,95,Rattan,,,
Ռայոն,96,Rayon,,,
Թուղթ,97,Paper,,,
Ալյումինում,98,Aluminum,,,
Պոլիվինիլքլորիդ- Պվք,99,PVC (Polyvinyl chloride),,,
Էլաստոդին,100,Elastodiene,,,
Անհայտ,103,Unknown,,,
պոլիուրեթան,104,Polyurethane,,,
քար,105,Stone,,,
նայլոն,106,Nylon,,,
պոլիակրիլ ,107,Polyacrylic,,,
սիլիկոն,108,Silicone,,,
պոլիմեր,109,Polymer,,,
էթիլեն վինիլ,110,Ethylene vinyl (EVA),,,
պոլիոտեքստիլ,111,Poly-textile,,,
Լիոն,112,Lyon (unclear term),,,
ֆիբրամետալիկ,113,Metallic fiber,,,
բնական լատեքս,117,Natural latex,,,
fibros metalizadas,119,Metallized fibers,,,
էլաստան/բամբուկ,13-9,Elastane + Bamboo,,9,Cotton
կաշի/Տակացու տեքստիլ,20-69,Leather + Sole: Textile,,,#N/A
"Կտոր,ռեզին",25-93,Fabric; Resin,,25,Fabric
պոլիեսթեր/ռաթթան,37-94,Polyester + Rattan,,94,Linen
