Color_armenian,Color_id,Color_English
Կարմիր,1,Red
Դեղին,3,Yellow
Կանաչ,4,Green
Կապույտ,5,Blue
Մանուշակագույն,7,Purple
Մոխրագույն,8,Grey
Նարնջագույն,9,Orange
Շագանակագույն,10,Brown
Սպիտակ,12,White
Վարդագույն,13,Pink
Փիրուզագույն,14,Turquoise
Փղոսկր,15,Ivory
Կրեմագույն,16,Cream
Գույնզգույն,17,Multicolored
Սև,20,Black
Ոսկեգույն,21,Gold
Արծաթագույն,22,Silver
Կաթնագույն,23,Milk
Մուգ կարմիր ,24,Dark red
Մուգ կապույտ,25,Blue - Dark
Խակի,26,Khaki
Երկնագույն կապույտ,27,Blue - Navy
Կանաչ-կապույտ,28,Green-Blue
Բաց կապույտ,29,Blue - Light
սև-սպիտակ,30,Black - White
անգույն,31,no color
