english,armenian,id
2Pac,,1008
4F,,884
4Th Reckless,,85
883 Police,,192
A.P.G,,620
Abercrombie&Fitch,,788
Achiever Pparels,,449
Active Yours,,857
Adidas,,123
Adore,,184
Adventuridge,,928
Aeronautica Militare,,519
Aeropostale,,874
Aicok,,811
Airfield,,288
Alato,,621
Alcott,,617
Aldi,,573
Aldi Bags,,499
Aldimania,,933
Aldimania Xmas Jumper,,941
Aldo,,796
Alesya,,769
Alex,,622
Alive,,545
Alpha Industries,,120
American Eagle,,4
American Vintage,,215
Angelo Litrico,,389
Angelotitrico,,623
Angels,,101
Ann Summers,,842
Anna Field,,147
Anna Scott,,437
Annarr,,828
Another Label,,554
Anytime,,551
Anyway,,624
Apob,,1015
Apricot,,10
Aqua Sphere,,566
Arc,,798
Arena,,575
Armani,,271
Arqueonautas,,492
Asics,,568
Asos,,808
Astrapahl,,570
Asyou,,851
Athletique,,337
Atmosphere,,625
Autdoor Edition,,1010
Authentic,,953
Autoxs,,973
Avidlove,,130
B. You,,157
B.Rr.Tex,,626
B4 Novi,,913
Babyonline Dress,,129
Badrhino,,479
Bagatt,,533
Baldinini,,304
Ballantyne,,525
Ballin,,291
Bally,,748
Bam,,606
Banana Republic,,50
Barbour,,352
Barneys Originals,,355
Basic,,392
Basic One,,627
Basler,,242
Bcbgeneration,,596
Bd,,950
Bdg,,628
Beachwave,,550
Beauty Will,,197
Beck & Hersey,,487
Being Casual,,425
Bellantare,,974
Ben Sheppman,,629
Ben Sherman,,469
Bench,,754
Berghaus,,792
Bershka,,14
Berskly,,630
Bertoni,,473
Besco,,631
Best Wool,,775
Betty Barclay,,599
Beyou,,141
Bgn,,510
Bibi &Tina,,361
Big Star,,885
Bik Bok,,144
Bikemate,,978
Billa Bong,,585
Billie & Blossom Curve,,86
Blaumax,,602
Blend,,250
Blick,,632
Blosh,,633
Blue Motion,,543
Blvey,,981
Boboli,,751
Boden,,1016
Bogner,,496
Bonaparte,,634
Bonita,,7
Bonobo,,547
Boohoo,,20
Boss,,237
Braid,,511
Brams,,635
Brave Soul,,255
Brax,,21
Broadway,,49
Brooks,,886
Bruce,,992
Bruno Banani,,982
Brunotii,,563
Brunotti,,581
Bubble Room,,778
Buena Visla,,404
Buffalo,,162
Bugatti,,175
Burberri London,,269
Burberry,,463
Burton Menswear,,56
C&A,,2
