english,armenian,id
Red,Կարմիր,1
Yellow,Դեղին,3
Green,Կանաչ,4
Blue,Կապույտ,5
Purple,Մանուշակագույն,7
Grey,Մոխրագույն,8
Orange,Նարնջագույն,9
Brown,Շագանակագույն,10
White,Սպիտակ,12
Pink,Վարդագույն,13
Turquoise,Փիրուզագույն,14
Ivory,Փղոսկր,15
Cream,Կրեմագույն,16
Multicolored,Գույնզգույն,17
Black,Սև,20
Gold,Ոսկեգույն,21
Silver,Արծաթագույն,22
Milk,Կաթնագույն,23
Dark red,Մուգ կարմիր,24
Blue - Dark,Մուգ կապույտ,25
Khaki,Խակի,26
Blue - Navy,Երկնագույն կապույտ,27
Green-Blue,Կանաչ-կապույտ,28
Blue - Light,Բաց կապույտ,29
Black - White,սև-սպիտակ,30
no color,անգույն,31
