english,armenian,id
AETHIOPIA,,2055
AFGHANISTAN,,7475
ALBANIA,,1704
ALGERIA,,2005
AMERICAN SAMOA,,8685
ANDORRA,,1705
ANGOLA,,2010
ANGUILA,,6325
ANTIGUA,,6330
ARGENTINA,,4230
ARMENIA,,1706
ARUBA,,6335
ASERBEIDSCHAN,,1707
AUSTRALIA,,8625
AUSTRIA,,1800
BAHAMAS,,6340
BAHRAIN,,7480
BANGLADESH,,7485
BARBADOS,,6345
BARBUDA,,6350
BELARUS,,1852
BELGIUM,,1710
BELIZE,,5312
BENIN,,2015
BERMUDAS,,6355
BOLIVIA,,4235
BONAIRE,,6360
BOSNIA - HERZEGOWINA,,1713
BRAZIL,,4240
BRUNEI,,7490
BULGARIA,,1715
BURKINA FASO,,2197
BURUNDI,,2025
CAMBODIA,,7577
CAMEROON,,2030
CANADA,,3215
CAYMAN ISLANDS,,6365
CENTRAL AFRICAN REP.,,2035
CEUTA,,1718
CHAD,,2190
CHECH REPUBLIC,,1835
CHILE,,4245
CHINA,,7497
COLUMBIA,,4250
CONGO,,1719
COOK ISLANDS,,8630
COSTA RICA,,5295
CROATIA,,1767
CURACAO,,6370
CYPRUS,,1855
DEMOKR. REP. KONGO,,2040
DENMARK,,1720
DJIBOUTI,,2045
DOMINICA,,6375
DOMINICAN REP.,,6380
ECUADOR,,4255
EGYPT,,2050
EL SALVADOR,,5300
ELLICE ISLANDS,,8635
ENGLAND,,9002
EQUATORIAL GUINEA,,2000
ESTONIA,,1727
EUROPE,,9001
FED. REP. OF NIGERIA,,2125
FIJI ISLANDS,,8640
FINLAND,,1730
FRANCE,,1735
FRENCH GUIANA,,4260
FRENCH POLYNESIA,,8692
GABON,,2060
GEORGIA,,1736
GERMANY,,1725
GHANA,,2065
GIBRALTAR,,1737
GILBERT ISLANDS,,8645
GREECE,,1740
GREENLAND,,1742
GRENADA,,6385
GUADELUPE,,6390
GUAM,,8650
GUATEMALA,,5305
GUIANA,,4265
GUINEA BISSAU,,1743
HAITI,,6395
HOLLAND,,1790
HONDURAS,,6396
HONG KONG,,7500
HUNGARY,,1850
ICELAND,,1755
INDIA,,7505
INDONESIA,,7510
IRAN,,7580
IRAQ,,7585
ISRAEL,,7590
ITALY,,1760
IVORY COAST,,2072
JAMAICA,,6400
JAPAN,,7515
JORDAN,,7592
KAZAKHSTAN,,7522
KENIA,,2075
KOREA,,1766
KOSOVO,,1769
KUWAIT,,7595
KYRGYZSTAN,,7523
LAOS,,8999
LATVIA,,1768
LESOTHO,,1776
LIBANON,,1774
LIBERIA,,2080
LIBYA,,2085
LIECHTENSTEIN,,1770
LITHUANIA,,1772
LUXEMBOURG,,1775
MACAU,,7535
MACEDONIA,,1777
MADAGASCAR,,2090
MALAWI,,2095
MALAYSIA,,7540
MALDIVES,,7542
MALI,,2100
MALTA,,1780
MARTINIQUE,,6405
MAURETANIA,,2102
MAURITIUS,,2105
MELILLA,,1778
MEXICO,,3220
MICRONESIA,,8655
MOLDAWIA,,1782
MONACO,,1785
MONTSERRAT,,6435
MOROCCO,,2110
MOSAMBIK,,2115
MYANMAR,,7495
NAMIBIA,,2165
NEPAL,,7545
NEVIS & ST. KITTS,,6415
NEW CALEDONIA,,8660
NEW ZEALAND,,8675
NICARAGUA,,5315
NIGER,,2120
NORFOLK ISLANDS,,8680
NORWAY,,1795
NOTHERN MARIANA ISL.,,8662
OMAN,,7613
PAKISTAN,,7550
PANAMA,,5320
PAPUA AND NEW GUINEA,,8670
PARAGUAY,,4270
PERU,,4275
PHILIPPINES,,7555
POLAND,,1805
PORTUGAL,,1810
PUERTO RICO,,6420
QATAR,,7612
REP. OF BOTSWANA,,2020
REP. OF HONDURAS,,5310
REP. OF IRELAND,,1750
REP. OF SOUTH AFRICA,,2160
REPUBL. GUINEA,,2070
REPUBLIC OF KOREA,,7525
RHEUNION,,2130
ROMANIA,,1815
RUSSIA,,1816
RWANDA,,2140
SABA,,6425
SAO TOME Y PRINCIPE,,2142
SAUDI ARABIEN,,7600
SENEGAL,,2145
SERBIA MONTENEGRO,,1822
SEYCHELLES,,2150
SIERRA LEONE,,2155
SINGAPORE,,7560
SLOVAKIAN REPUBLIC,,1826
SLOWENIA,,1827
SOLOMON ISLANDS,,8695
SOMALI REP.,,2157
SPAIN,,1830
SRI LANKA,,7565
ST. BARTHELEMY,,6427
ST. EUSTATIUS,,6430
ST. LUCIA,,6440
ST. MAARTEN (DUTCH),,6445
ST. MARTIN (FRANZ.),,6450
ST.VINCENT&GRENADINES,,6455
SUDAN,,2170
SURINAM,,4280
SWAZILAND,,2175
SWEDEN,,1820
SWITZERLAND,,1825
SYRIA,,7605
TAIWAN,,7570
TAJIKISTAN,,7567
TANZANIA,,2180
THAILAND,,7575
THE GAMBIA,,2062
TOGO,,2195
TONGA,,8700
TRINIDAD & TOBAGO,,6460
TUNISIA,,2185
TURKEY,,1840
TURKMENISTAN,,1834
TURKS+CAICOS ISLANDS,,6462
UGANDA,,2200
UKRAINE,,1847
UNITED ARAB. EMIRATES,,7610
UNITED KINGDOM,,1745
Unknown,,9003
URUGUAY,,4285
USA,,3225
UZBEKISTAN,,7578
VANUATU,,8665
VENEZUELA,,4290
VIETNAM,,7579
VIRGIN ISLANDS (AM),,6470
VIRGIN ISLANDS (BRIT),,6465
WESTERN SAMOA,,8690
YEMEN,,7615
YUGOSLAWIA,,1765
ZAIRE,,2205
ZAMBIA,,2210
ZIMBABWE,,2135
