english,armenian,id
Acrylic,Ակրիլ,2
Satin,Ատլաս,3
Silver-plated,Արծաթապատված,5
Faux leather,Արհեստական ​​կաշի,7
Faux fur,Արհեստական ​​մորթի,8
Cotton,Բամբակ,9
Wool,Բուրդ,11
Elastane,Էլաստան,13
Straw,Ծղոտ,19
Leather,Կաշի,20
Cashmere,Քաշմիր,22
Crocodile leather,Կոկորդիլոսի կաշի,23
Fabric,Կտոր,25
Silk,Մետաքս,27
Chiffon,Շիֆոն,30
Gold-plated,Ոսկու ծածկույթ,32
Stainless steel,Չժանգոտվող պողպատ,34
Plastic,Պլաստմասե,36
Polyester,Պոլիեսթեր,37
Jersey,Ջերսի,39
Denim,Ջինս,40
Rubber,Ռետին,41
Rhodium-plated,Ռոդիումապատ,42
Spandex,Սպանդեքս,44
Mesh,Ցանց,48
Wood,Փայտ,50
Snakeskin,Օձի կաշի,51
Viscose,Վիսկոզ,53
Lyocell,Լյոսել,54
Flax,Վուշ,55
Polyamide,Պոլիամիդ,56
Modal,Մոդալ,57
Metallized,Մետաղացված,58
Elastomultiester,Էլաստոմուլտիէսթեր,59
Genuine leather,Բնական Կաշի,61
Lurex,լուռեկս,62
Cupro,Կուպռո,63
Polyethylene,Պոլիէթիլեն,65
Velvet,Վելվետ,66
Metallic,Մետաղյա,67
Synthetic material,Սինթետիկ նյութ,68
Textile,Տեքստիլ,69
Bamboo,Բամբուկ,70
Angora,Անգոռա,71
Fiber,Մանրաթել,72
Fur,Մորթի,74
Lambskin fur,Գառան մորթի,75
Genuine lambskin leather,Գառան բնական կաշի,76
Acetate,ԱՑԵՏԱՏ,77
Down/Fluff,Բմբուլ,78
Suede,Զամշ,79
Mohair,Մոհիր,81
Burlap,մեշկավինա,83
Goatskin,Այծի կաշի,84
Jute,Ջուտ,85
Patent leather,Լաք,87
Duvetine,Դուվետ,88
Genuine fur,բնական մորթի,89
Polypropylene,Պոլիպռոպոլեն,90
Raffia,ռաֆիա,91
Resin,ռեզին,93
Linen,Լինեն,94
Rattan,Ռաթթան,95
Rayon,Ռայոն,96
Paper,Թուղթ,97
Aluminum,Ալյումինում,98
PVC (Polyvinyl chloride),Պոլիվինիլքլորիդ- Պվք,99
Elastodiene,Էլաստոդին,100
Unknown,Անհայտ,103
Polyurethane,պոլիուրեթան,104
Stone,քար,105
Nylon,նայլոն,106
Polyacrylic,պոլիակրիլ,107
Silicone,սիլիկոն,108
Polymer,պոլիմեր,109
Ethylene vinyl (EVA),էթիլեն վինիլ,110
Poly-textile,պոլիոտեքստիլ,111
Lyon (unclear term),Լիոն,112
Metallic fiber,ֆիբրամետալիկ,113
Natural latex,բնական լատեքս,117
Metallized fibers,fibros metalizadas,119
Elastane + Bamboo,էլաստան/բամբուկ,13-9
Leather + Sole: Textile,կաշի/Տակացու տեքստիլ,20-69
Fabric; Resin,"Կտոր,ռեզին",25-93
Polyester + Rattan,պոլիեսթեր/ռաթթան,37-94
